Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P75749	ybgP b0717 JW0707	Uncharacterized fimbrial chaperone YbgP	2 out of 5	cell wall organization [GO:0071555]; chaperone-mediated protein folding [GO:0061077]; pilus organization [GO:0043711]; protein folding [GO:0006457]	ecj:JW0707;eco:b0717;	PF02753;PF00345;	AAC73811;BAA35381;	EcoCyc:G6386-MONOMER;ECOL316407:JW0707-MONOMER;
P0AB43	ycgL b1179 JW1168	Protein YcgL	1 out of 5		ecj:JW1168;eco:b1179;	PF05166;	AAC74263;BAA36013;	EcoCyc:G6616-MONOMER;ECOL316407:JW1168-MONOMER;
P77721	ydjF b1770 JW1759	Uncharacterized HTH-type transcriptional regulator YdjF	2 out of 5		ecj:JW1759;eco:b1770;	PF00455;PF08220;	AAC74840;BAA15561;	EcoCyc:G6957-MONOMER;ECOL316407:JW1759-MONOMER;
P76220	ydjY b1751 JW5283	Uncharacterized protein YdjY	2 out of 5		ecj:JW5283;eco:b1751;		AAC74821;BAE76518;	EcoCyc:G6946-MONOMER;ECOL316407:JW5283-MONOMER;
P76069	ydaY b1366 JW1360	Protein YdaY	1 out of 5		ecj:JW1360;		BAE76418;	EcoCyc:G6689-MONOMER;ECOL316407:JW1360-MONOMER;
P46130	ybhC b0772 JW0755	Putative acyl-CoA thioester hydrolase YbhC (EC 3.1.2.-)	4 out of 5	cell wall modification [GO:0042545]	ecj:JW0755;eco:b0772;	PF01095;	AAC73859;BAA35436;	EcoCyc:EG12875-MONOMER;ECOL316407:JW0755-MONOMER;
P0AB31	yceK b1050 JW5151	Uncharacterized protein YceK	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW5151;eco:b1050;	PF07119;	AAC74134;BAA35849;	EcoCyc:EG12689-MONOMER;ECOL316407:JW5151-MONOMER;
Q47269	ybcN b0547 JW0535	Uncharacterized protein YbcN	2 out of 5		ecj:JW0535;eco:b0547;		AAC73648;BAE76322;	EcoCyc:G6303-MONOMER;ECOL316407:JW0535-MONOMER;
P76061	ydaG b1355 JW5210	Uncharacterized protein YdaG	1 out of 5		ecj:JW5210;eco:b1355;		AAC74437;BAE76410;	EcoCyc:G6679-MONOMER;ECOL316407:JW5210-MONOMER;
P45570	ybcI b0527 JW0516	Inner membrane protein YbcI	2 out of 5		ecj:JW0516;eco:b0527;	PF04307;	AAC73629;BAE76304;	EcoCyc:EG12708-MONOMER;ECOL316407:JW0516-MONOMER;
P0A8R7	ycjF b1322 JW1315	UPF0283 membrane protein YcjF	2 out of 5		ecj:JW1315;eco:b1322;	PF05128;	AAC74404;BAA14903;	EcoCyc:EG12870-MONOMER;ECOL316407:JW1315-MONOMER;
P77174	ybdM b0601 JW0594	Uncharacterized protein YbdM	1 out of 5		ecj:JW0594;eco:b0601;	PF02195;	AAC73702;BAA35231;	EcoCyc:G6330-MONOMER;ECOL316407:JW0594-MONOMER;
P0DP63	ybeH b4581 JW0620 b0625	Putative protein YbeH	2 out of 5		ecj:JW0620;			
P31131	ydeJ b1537 JW1530	Protein YdeJ	2 out of 5		ecj:JW1530;eco:b1537;	PF02464;	AAC74610;BAA15227;	EcoCyc:EG11645-MONOMER;ECOL316407:JW1530-MONOMER;
P76176	ydgD b1598 JW1590	Uncharacterized serine protease YdgD (EC 3.4.21.-)	2 out of 5		ecj:JW1590;eco:b1598;	PF00089;	AAC74670;BAE76480;	EcoCyc:G6856-MONOMER;ECOL316407:JW1590-MONOMER;
P0ACX0	ydgC b1607 JW1599	Inner membrane protein YdgC	2 out of 5		ecj:JW1599;eco:b1607;	PF06942;	AAC74679;BAA15345;	EcoCyc:G6863-MONOMER;ECOL316407:JW1599-MONOMER;
P29009	ydfB b1572 JW1564	Uncharacterized protein YdfB	1 out of 5		ecj:JW1564;eco:b1572;		AAC74645;BAA15277;	EcoCyc:EG11301-MONOMER;ECOL316407:JW1564-MONOMER;
P0A840	surE ygbC b2744 JW2714	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)	5 out of 5	UMP catabolic process [GO:0046050]	ecj:JW2714;eco:b2744;	PF01975;	AAC75786;BAE76821;	EcoCyc:EG11817-MONOMER;ECOL316407:JW2714-MONOMER;MetaCyc:EG11817-MONOMER;
P0A8M0	asnS tss b0930 JW0913	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	4 out of 5	asparaginyl-tRNA aminoacylation [GO:0006421]; tRNA aminoacylation for protein translation [GO:0006418]	ecj:JW0913;eco:b0930;	PF00152;PF01336;	AAC74016;BAA35682;	EcoCyc:ASNS-MONOMER;ECOL316407:JW0913-MONOMER;MetaCyc:ASNS-MONOMER;
P69428	tatA mttA1 yigT b3836 JW3813	Sec-independent protein translocase protein TatA	5 out of 5	intracellular protein transmembrane transport [GO:0065002]; protein transport by the Tat complex [GO:0043953]	ecj:JW3813;eco:b3836;	PF02416;	AAC76839;BAE77465;	EcoCyc:TATA;ECOL316407:JW3813-MONOMER;MetaCyc:TATA;
P07464	lacA b0342 JW0333	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)	5 out of 5	lactose biosynthetic process [GO:0005989]	ecj:JW0333;eco:b0342;	PF00132;PF14602;PF12464;	AAC73445;BAE76124;	EcoCyc:GALACTOACETYLTRAN-MONOMER;ECOL316407:JW0333-MONOMER;MetaCyc:GALACTOACETYLTRAN-MONOMER;
P0AGG4	trxC yfiG b2582 JW2566	Thioredoxin 2 (Trx-2) (EC 1.8.1.8) (Protein-disulfide reductase)	5 out of 5	cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662]	ecj:JW2566;eco:b2582;	PF00085;	AAC75635;BAA16469;	EcoCyc:RED-THIOREDOXIN2-MONOMER;ECOL316407:JW2566-MONOMER;MetaCyc:RED-THIOREDOXIN2-MONOMER;
P0A884	thyA b2827 JW2795	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	5 out of 5	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]; regulation of translation [GO:0006417]; response to radiation [GO:0009314]	ecj:JW2795;eco:b2827;	PF00303;	AAC75866;BAE76896;	EcoCyc:THYMIDYLATESYN-MONOMER;ECOL316407:JW2795-MONOMER;MetaCyc:THYMIDYLATESYN-MONOMER;
P0A887	ubiE yigO b3833 JW5581	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	5 out of 5	aerobic respiration [GO:0009060]; menaquinone biosynthetic process [GO:0009234]; methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]	ecj:JW5581;eco:b3833;	PF01209;	AAT48227;BAE77468;	EcoCyc:2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER;ECOL316407:JW5581-MONOMER;MetaCyc:2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER;
P39160	uxuB b4323 JW4286	D-mannonate oxidoreductase (EC 1.1.1.57) (Fructuronate reductase)	3 out of 5	D-glucuronate catabolic process [GO:0042840]; mannitol metabolic process [GO:0019594]	ecj:JW4286;eco:b4323;	PF01232;PF08125;	AAC77279;BAE78316;	EcoCyc:MANNONOXIDOREDUCT-MONOMER;ECOL316407:JW4286-MONOMER;MetaCyc:MANNONOXIDOREDUCT-MONOMER;
P0AGF4	xylE b4031 JW3991	D-xylose-proton symporter (D-xylose transporter)	5 out of 5	D-xylose transmembrane transport [GO:0015753]	ecj:JW3991;eco:b4031;	PF00083;	AAC77001;BAE78033;	EcoCyc:XYLE-MONOMER;ECOL316407:JW3991-MONOMER;MetaCyc:XYLE-MONOMER;
P76206	ydiY b1722 JW1711	Uncharacterized protein YdiY	1 out of 5		ecj:JW1711;eco:b1722;	PF04338;	AAC74792;BAE76508;	EcoCyc:G6928-MONOMER;ECOL316407:JW1711-MONOMER;
P64476	ydiH b1685 JW1675	Uncharacterized protein YdiH	1 out of 5		ecj:JW1675;eco:b1685;	PF15930;	AAC74755;BAE76501;	EcoCyc:G6911-MONOMER;ECOL316407:JW1675-MONOMER;
P76230	ydjK b1775 JW5290	Putative metabolite transport protein YdjK	2 out of 5		ecj:JW5290;eco:b1775;	PF00083;	AAC74845;BAA15573;	EcoCyc:B1775-MONOMER;ECOL316407:JW5290-MONOMER;
P21829	ybhA b0766 JW0749	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)	5 out of 5	pyridoxal phosphate catabolic process [GO:0032361]	ecj:JW0749;eco:b0766;		AAC73853;BAA35430;	EcoCyc:EG11239-MONOMER;ECOL316407:JW0749-MONOMER;MetaCyc:EG11239-MONOMER;
P36682	yacH b0117 JW0113	Uncharacterized protein YacH	1 out of 5		ecj:JW0113;eco:b0117;	PF11737;	AAC73228;BAB96689;	EcoCyc:EG12315-MONOMER;ECOL316407:JW0113-MONOMER;
P77460	ybcY b0562 JW0551	Putative uncharacterized protein YbcY	2 out of 5		ecj:JW0551;	PF08242;	BAE76337;	ECOL316407:JW0551-MONOMER;
P31991	ydcD b1457 JW1452	Uncharacterized protein YdcD (ORF-E2)	1 out of 5		ecj:JW1452;eco:b1457;		AAC74539;BAA15088;	EcoCyc:EG11760-MONOMER;ECOL316407:JW1452-MONOMER;
P77546	ydaV b1360 JW1355	Uncharacterized protein YdaV	1 out of 5	DNA replication [GO:0006260]; DNA strand elongation involved in DNA replication [GO:0006271]	ecj:JW1355;eco:b1360;	PF01695;	AAC74442;BAA14958;	EcoCyc:G6684-MONOMER;ECOL316407:JW1355-MONOMER;
P52096	yaeR b0187 JW0182	Uncharacterized protein YaeR	1 out of 5		ecj:JW0182;eco:b0187;	PF00903;	AAC73298;BAA77862;	EcoCyc:G6095-MONOMER;ECOL316407:JW0182-MONOMER;
P77296	ybeT b0647 JW0642	Sel1-repeat-containing protein YbeT	1 out of 5		ecj:JW0642;eco:b0647;	PF08238;	AAC73748;BAA35294;	EcoCyc:G6354-MONOMER;ECOL316407:JW0642-MONOMER;
P46125	yedI b1958 JW1941	Inner membrane protein YedI	2 out of 5		ecj:JW1941;eco:b1958;	PF05661;	AAC75024;BAA15785;	EcoCyc:EG12709-MONOMER;ECOL316407:JW1941-MONOMER;
P76012	ycgY b1196 JW1185	Uncharacterized protein YcgY	1 out of 5		ecj:JW1185;eco:b1196;		AAC74280;BAE76391;	EcoCyc:G6625-MONOMER;ECOL316407:JW1185-MONOMER;
P76275	yebW b1837 JW5303	Uncharacterized protein YebW	1 out of 5		ecj:JW5303;eco:b1837;	PF07358;	AAC74907;BAE76542;	EcoCyc:G7010-MONOMER;ECOL316407:JW5303-MONOMER;
P33219	yebF b1847 JW1836	Protein YebF	2 out of 5		ecj:JW1836;eco:b1847;	PF13995;	AAC74917;BAA15653;	EcoCyc:EG11807-MONOMER;ECOL316407:JW1836-MONOMER;
P33014	yeeD b2012 JW1994	Putative sulfur carrier protein YeeD	1 out of 5		ecj:JW1994;eco:b2012;	PF01206;	AAC75073;BAA15840;	EcoCyc:EG11894-MONOMER;ECOL316407:JW1994-MONOMER;
P76017	ycgV b1202 JW1193	Uncharacterized protein YcgV	2 out of 5	cell adhesion involved in biofilm formation [GO:0043708]	ecj:JW1193;eco:b1202;	PF03797;PF03212;	AAC74286;BAA36059;	EcoCyc:G6629-MONOMER;ECOL316407:JW1193-MONOMER;
P64483	yeaK b1787 JW1776	Uncharacterized protein YeaK	2 out of 5	positive regulation of translational fidelity [GO:0045903]	ecj:JW1776;eco:b1787;	PF04073;	AAC74857;BAE76526;	EcoCyc:G6973-MONOMER;ECOL316407:JW1776-MONOMER;
Q47536	yaiP b0363 JW0355	Uncharacterized glycosyltransferase YaiP (EC 2.4.-.-)	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW0355;eco:b0363;	PF00535;	AAC73466;BAE76144;	EcoCyc:G6215-MONOMER;ECOL316407:JW0355-MONOMER;
P0AAQ6	ybaA b0456 JW0445	Uncharacterized protein YbaA	1 out of 5		ecj:JW0445;eco:b0456;	PF07237;	AAC73558;BAE76235;	EcoCyc:EG11099-MONOMER;ECOL316407:JW0445-MONOMER;
P77607	yagL b0278 JW0272	Uncharacterized protein YagL	1 out of 5		ecj:JW0272;eco:b0278;	PF07638;	AAC73381;BAE76062;	EcoCyc:G6149-MONOMER;ECOL316407:JW0272-MONOMER;
P77393	yahL b0326 JW0318	Uncharacterized protein YahL	1 out of 5		ecj:JW0318;eco:b0326;		AAC73429;BAE76109;	EcoCyc:G6191-MONOMER;ECOL316407:JW0318-MONOMER;
P0A8D3	yaiI b0387 JW0378	UPF0178 protein YaiI	2 out of 5		ecj:JW0378;eco:b0387;	PF02639;	AAC73490;BAE76168;	EcoCyc:G6230-MONOMER;ECOL316407:JW0378-MONOMER;
P39409	yjjW b4379 JW4342	Putative glycyl-radical enzyme activating enzyme YjjW (GRE activating enzyme YjjW) (EC 1.97.1.-)	3 out of 5		ecj:JW4342;eco:b4379;	PF04055;	AAC77332;BAE78368;	EcoCyc:G7953-MONOMER;ECOL316407:JW4342-MONOMER;
C1P5Z9	ymiB b4672 JW1278.1	Putative protein YmiB	1 out of 5		eco:b4672;		ACO59991;	EcoCyc:MONOMER0-4368;
Q2EER5	ymjC b4525 JW5960	Protein YmjC	1 out of 5		ecj:JW5960;		BAE76402;	EcoCyc:MONOMER0-2668;ECOL316407:JW5960-MONOMER;
P0DSF0	ymiD b4772	Protein YmiD	1 out of 5					
P0AEB7	yoaB b1809 JW5295	RutC family protein YoaB	1 out of 5		ecj:JW5295;eco:b1809;	PF01042;	AAC74879;BAA15618;	EcoCyc:G6993-MONOMER;ECOL316407:JW5295-MONOMER;
P0AF56	yjcO b4078 JW4039	Sel1-repeat-containing protein YjcO	1 out of 5		ecj:JW4039;eco:b4078;	PF08238;	AAD13461;BAE78080;	EcoCyc:EG11951-MONOMER;ECOL316407:JW4039-MONOMER;
Q46907	ygcQ b2769 JW5440	Putative electron transfer flavoprotein subunit YgcQ	2 out of 5		ecj:JW5440;eco:b2769;	PF01012;PF00766;	AAC75811;BAE76846;	EcoCyc:G7435-MONOMER;ECOL316407:JW5440-MONOMER;
P0A8C4	ygfB b2909 JW5473	UPF0149 protein YgfB	2 out of 5		ecj:JW5473;eco:b2909;	PF03695;	AAC75947;BAE76974;	EcoCyc:EG11323-MONOMER;ECOL316407:JW5473-MONOMER;
P39284	yjeO b4158 JW4119	Inner membrane protein YjeO	2 out of 5		ecj:JW4119;eco:b4158;	PF10840;	AAC77118;BAE78162;	EcoCyc:G7839-MONOMER;ECOL316407:JW4119-MONOMER;
P39337	yjgM b4256 JW5758	Uncharacterized N-acetyltransferase YjgM (EC 2.3.1.-)	2 out of 5		ecj:JW5758;eco:b4256;	PF00583;	AAT48245;BAE78253;	EcoCyc:G7886-MONOMER;ECOL316407:JW5758-MONOMER;
P76512	yfdP b2359 JW2356	Uncharacterized protein YfdP	1 out of 5		ecj:JW2356;eco:b2359;		AAC75418;BAE76698;	EcoCyc:G7228-MONOMER;ECOL316407:JW2356-MONOMER;
P37621	yhhS b3473 JW5945	Uncharacterized MFS-type transporter YhhS	4 out of 5		ecj:JW5945;eco:b3473;	PF07690;	AAC76498;BAE77820;	EcoCyc:YHHS-MONOMER;ECOL316407:JW5945-MONOMER;
P76507	yfdI b2352 JW5382	Uncharacterized protein YfdI	1 out of 5		ecj:JW5382;eco:b2352;		AAC75411;BAE76694;	EcoCyc:G7221-MONOMER;ECOL316407:JW5382-MONOMER;MetaCyc:G7221-MONOMER;
A5A625	yibV b4615	Protein YibV	1 out of 5			PF15596;		EcoCyc:MONOMER0-2827;
P37627	yhiJ b3488 JW3455	Uncharacterized protein YhiJ	1 out of 5		ecj:JW3455;eco:b3488;	PF13258;	AAC76513;BAE77805;	EcoCyc:EG12225-MONOMER;ECOL316407:JW3455-MONOMER;
P52052	yggR b2950 JW2917	Uncharacterized protein YggR	2 out of 5		ecj:JW2917;eco:b2950;	PF00437;	AAC75987;BAE77013;	EcoCyc:G7526-MONOMER;ECOL316407:JW2917-MONOMER;
P76520	yfdX b2375 JW2372	Protein YfdX	2 out of 5		ecj:JW2372;eco:b2375;	PF10938;	AAC75434;BAE76705;	EcoCyc:G7238-MONOMER;ECOL316407:JW2372-MONOMER;
Q2M7X4	yicS b4555 JW5965	Uncharacterized protein YicS	1 out of 5		ecj:JW5965;eco:b4555;		ABD18705;BAE77632;	EcoCyc:MONOMER0-2691;ECOL316407:JW5965-MONOMER;
P39382	yjiK b4333 JW5869	Uncharacterized protein YjiK	2 out of 5		ecj:JW5869;eco:b4333;	PF06977;	AAC77289;BAE78326;	EcoCyc:G7930-MONOMER;ECOL316407:JW5869-MONOMER;
P0AEH8	yjiG b4329 JW4292	Inner membrane protein YjiG	2 out of 5		ecj:JW4292;eco:b4329;	PF07670;	AAC77285;BAE78322;	EcoCyc:G7926-MONOMER;ECOL316407:JW4292-MONOMER;
Q2EES0	ynfO b4533 JW5251	Uncharacterized protein YnfO (Uncharacterized protein YnfO from Qin prophage)	1 out of 5		ecj:JW5251;eco:b4533;	PF13132;	ABD18667;BAE76465;	EcoCyc:MONOMER0-2674;ECOL316407:JW5251-MONOMER;
P0DPO9	ynfR b4749	Protein YnfR	1 out of 5					
P0ADI9	yhhN b3468 JW3433	Uncharacterized membrane protein YhhN	2 out of 5		ecj:JW3433;eco:b3468;	PF07947;	AAC76493;BAE77825;	EcoCyc:EG12214-MONOMER;ECOL316407:JW3433-MONOMER;
P37662	yhjX b3547 JW3516	Uncharacterized MFS-type transporter YhjX	3 out of 5	cellular response to nutrient levels [GO:0031669]	ecj:JW3516;eco:b3547;	PF07690;	AAC76571;BAE77748;	EcoCyc:YHJX-MONOMER;ECOL316407:JW3516-MONOMER;
P27843	yigG b3818 JW5590	Inner membrane protein YigG	2 out of 5		ecj:JW5590;eco:b3818;		AAC76821;BAE77483;	EcoCyc:EG11465-MONOMER;ECOL316407:JW5590-MONOMER;
P46126	yfiM b2586 JW2570	Uncharacterized protein YfiM	1 out of 5		ecj:JW2570;eco:b2586;	PF10043;	AAC75639;BAA16471;	EcoCyc:EG12857-MONOMER;ECOL316407:JW2570-MONOMER;
P64590	yhaH b3103 JW3074	Inner membrane protein YhaH	2 out of 5		ecj:JW3074;eco:b3103;	PF05656;	AAC76138;BAE77153;	EcoCyc:G7617-MONOMER;ECOL316407:JW3074-MONOMER;
P76227	ynjH b1760 JW1749	Uncharacterized protein YnjH	1 out of 5		ecj:JW1749;eco:b1760;	PF07383;	AAC74830;BAE76523;	EcoCyc:G6955-MONOMER;ECOL316407:JW1749-MONOMER;
P32128	yihF b3861 JW5574	Uncharacterized protein YihF	1 out of 5		ecj:JW5574;eco:b3861;	PF06097;	AAC76859;BAE77447;	EcoCyc:EG11832-MONOMER;ECOL316407:JW5574-MONOMER;
P42626	yhaM yhaN b4470 JW5518	UPF0597 protein YhaM	3 out of 5	cysteine catabolic process [GO:0009093]; L-cysteine catabolic process to pyruvate [GO:0019450]; response to L-cysteine [GO:1901367]	ecj:JW5518;eco:b4470;	PF03313;	AAT48167;BAE77158;	EcoCyc:G7622-MONOMER;ECOL316407:JW5518-MONOMER;MetaCyc:G7622-MONOMER;
O52982	yfjS b2636 JW5921	Lipoprotein YfjS	2 out of 5		ecj:JW5921;eco:b2636;		AAC75684;BAE76771;	EcoCyc:G7371-MONOMER;ECOL316407:JW5921-MONOMER;
P76092	ynbC b1410 JW1407	Uncharacterized protein YnbC	2 out of 5		ecj:JW1407;eco:b1410;	PF12146;PF12147;	AAC74492;BAE76431;	EcoCyc:G6729-MONOMER;ECOL316407:JW1407-MONOMER;
P76481	yfbK b2270 JW2265	Uncharacterized protein YfbK	1 out of 5		ecj:JW2265;eco:b2270;	PF12034;PF00092;PF12450;	AAC75330;BAE76678;	EcoCyc:G7177-MONOMER;ECOL316407:JW2265-MONOMER;
P14375	zraR hydG b4004 JW3968	Transcriptional regulatory protein ZraR	4 out of 5	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	ecj:JW3968;eco:b4004;	PF02954;PF00072;PF00158;	AAC76978;BAE77315;	EcoCyc:HYDG-MONOMER;ECOL316407:JW3968-MONOMER;
P39314	ytfF b4210 JW4168	Inner membrane protein YtfF	2 out of 5		ecj:JW4168;eco:b4210;	PF00892;	AAC77167;BAE78211;	EcoCyc:G7867-MONOMER;ECOL316407:JW4168-MONOMER;
P0AE45	ytfL b4218 JW4177	UPF0053 inner membrane protein YtfL	2 out of 5		ecj:JW4177;eco:b4218;	PF00571;PF03471;PF01595;	AAC77175;BAE78219;	EcoCyc:G7873-MONOMER;ECOL316407:JW4177-MONOMER;
P30850	rnb b1286 JW1279	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	5 out of 5	mRNA catabolic process [GO:0006402]	ecj:JW1279;eco:b1286;	PF17876;PF08206;PF00773;PF00575;	AAC74368;BAA14840;	EcoCyc:EG11620-MONOMER;ECOL316407:JW1279-MONOMER;MetaCyc:EG11620-MONOMER;
P76104	rlhA ydcP b1435 JW1431	23S rRNA 5-hydroxycytidine C2501 synthase (Large subunit ribosomal RNA hydroxylation A)	5 out of 5	rRNA modification [GO:0000154]	ecj:JW1431;eco:b1435;	PF12392;PF01136;	AAC74517;BAA15068;	EcoCyc:G6746-MONOMER;ECOL316407:JW1431-MONOMER;
P37765	rluB yciL b1269 JW1261	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)	4 out of 5	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	ecj:JW1261;eco:b1269;	PF00849;PF01479;	AAC74351;BAA14806;	EcoCyc:EG12433-MONOMER;ECOL316407:JW1261-MONOMER;MetaCyc:EG12433-MONOMER;
P0A9J0	rng cafA orfF yhdF b3247 JW3216	Ribonuclease G (RNase G) (EC 3.1.26.-) (Cytoplasmic axial filament protein)	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; rRNA processing [GO:0006364]	ecj:JW3216;eco:b3247;	PF10150;PF00575;	AAC76279;BAE77289;	EcoCyc:EG11299-MONOMER;ECOL316407:JW3216-MONOMER;MetaCyc:EG11299-MONOMER;
P0A776	rppH nudH ygdP b2830 JW2798	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase) (Ap5A pyrophosphatase)	5 out of 5	mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; RNA destabilization [GO:0050779]; tRNA processing [GO:0008033]	ecj:JW2798;eco:b2830;	PF00293;	AAC75869;BAE76899;	EcoCyc:G7459-MONOMER;ECOL316407:JW2798-MONOMER;MetaCyc:G7459-MONOMER;
P67087	rsmI yraL b3146 JW3115	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	3 out of 5	enzyme-directed rRNA 2'-O-methylation [GO:0000453]	ecj:JW3115;eco:b3146;	PF00590;	AAC76180;BAE77192;	EcoCyc:G7641-MONOMER;ECOL316407:JW3115-MONOMER;MetaCyc:G7641-MONOMER;
P75719	rzpD ybcT b0556 JW5079	Prophage Rz endopeptidase RzpD (EC 3.4.-.-)	2 out of 5	cytolysis [GO:0019835]; defense response to bacterium [GO:0042742]; viral release from host cell [GO:0019076]	ecj:JW5079;eco:b0556;	PF03245;	AAC73657;BAE76331;	EcoCyc:G6311-MONOMER;ECOL316407:JW5079-MONOMER;
P21888	cysS b0526 JW0515	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	5 out of 5	cysteinyl-tRNA aminoacylation [GO:0006423]	ecj:JW0515;eco:b0526;	PF09190;PF01406;	AAC73628;BAE76303;	EcoCyc:CYSS-MONOMER;ECOL316407:JW0515-MONOMER;MetaCyc:CYSS-MONOMER;
P0AFZ3	sspB b3228 JW3197	Stringent starvation protein B (Adapter protein SspB) (Specificity-enhancing factor SspB)	5 out of 5	positive regulation of ATPase activity [GO:0032781]; positive regulation of protein catabolic process [GO:0045732]	ecj:JW3197;eco:b3228;	PF04386;	AAC76260;BAE77271;	EcoCyc:EG10978-MONOMER;ECOL316407:JW3197-MONOMER;
P0A8G3	uxaC ygjX ygjY ygjZ b3092 JW3063	Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)	3 out of 5	D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840]	ecj:JW3063;eco:b3092;	PF02614;	AAC76127;BAE77142;	EcoCyc:UXAC-MONOMER;ECOL316407:JW3063-MONOMER;MetaCyc:UXAC-MONOMER;
P76372	wzzB cld rol wzz b2027 JW5836	Chain length determinant protein (Polysaccharide antigen chain regulator)	3 out of 5	lipopolysaccharide biosynthetic process [GO:0009103]	ecj:JW5836;eco:b2027;	PF02706;	AAC75088;BAA15859;	EcoCyc:G7090-MONOMER;ECOL316407:JW5836-MONOMER;
P0AAA7	wzxE wzx yifJ b3792 JW3766	Lipid III flippase	4 out of 5	enterobacterial common antigen biosynthetic process [GO:0009246]	ecj:JW3766;eco:b3792;	PF01943;	AAC76797;BAE77506;	EcoCyc:EG11486-MONOMER;ECOL316407:JW3766-MONOMER;MetaCyc:EG11486-MONOMER;
P0A930	wza b2062 JW2047	Putative polysaccharide export protein Wza	3 out of 5	colanic acid metabolic process [GO:0046377]; ion transport [GO:0006811]; polysaccharide biosynthetic process [GO:0000271]	ecj:JW2047;eco:b2062;	PF02563;PF10531;PF18412;	AAC75123;BAE76576;	EcoCyc:G7107-MONOMER;ECOL316407:JW2047-MONOMER;MetaCyc:G7107-MONOMER;
P0AAB2	wzb b2061 JW2046	Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48)	3 out of 5	colanic acid biosynthetic process [GO:0009242]	ecj:JW2046;eco:b2061;	PF01451;	AAC75122;BAE76575;	EcoCyc:G7106-MONOMER;ECOL316407:JW2046-MONOMER;MetaCyc:G7106-MONOMER;
P75688	b0309	Putative uncharacterized protein b0309	1 out of 5					
P0AAX8	ybiS b0819 JW0803	Probable L,D-transpeptidase YbiS (EC 2.-.-.-)	5 out of 5	cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	ecj:JW0803;eco:b0819;	PF17969;PF03734;	AAC73906;BAA35500;	EcoCyc:G6422-MONOMER;ECOL316407:JW0803-MONOMER;MetaCyc:G6422-MONOMER;
P0ACR2	ydhB b1659 JW1651	Uncharacterized HTH-type transcriptional regulator YdhB	2 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1651;eco:b1659;	PF00126;PF03466;	AAC74731;BAA15425;	EcoCyc:EG12140-MONOMER;ECOL316407:JW1651-MONOMER;
P75791	ybiU b0821 JW0805	Uncharacterized protein YbiU	1 out of 5		ecj:JW0805;eco:b0821;	PF07350;	AAC73908;BAA35502;	EcoCyc:G6424-MONOMER;ECOL316407:JW0805-MONOMER;
